City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,college,64.8569,-147.8028,-13.91,78,75,1.54,US,1673916260
1,chokurdakh,70.6333,147.9167,-32.8,97,79,4.57,RU,1673916220
2,kasongo-lunda,-6.4667,16.8167,19.63,97,100,0.95,CD,1673916475
3,esperance,-33.8667,121.9,16.96,56,93,6.77,AU,1673916240
4,tuktoyaktuk,69.4541,-133.0374,-23.0,77,75,2.06,CA,1673916382
5,hilo,19.7297,-155.09,26.72,71,0,7.2,US,1673916164
6,komsomolskiy,40.4272,71.7189,-11.6,79,3,0.0,UZ,1673916476
7,puerto ayora,-0.7393,-90.3518,24.19,94,56,1.34,EC,1673916244
8,albany,42.6001,-73.9662,-1.97,65,13,2.23,US,1673915993
9,castro,-24.7911,-50.0119,19.13,90,100,0.26,BR,1673916418
10,rawatsar,29.2833,74.3833,4.89,22,0,2.71,IN,1673916477
11,tasiilaq,65.6145,-37.6368,-6.91,72,100,4.01,GL,1673916427
12,bluff,-46.6,168.3333,15.82,74,74,3.59,NZ,1673916271
13,new norfolk,-42.7826,147.0587,23.77,37,55,0.89,AU,1673916320
14,ushuaia,-54.8,-68.3,7.81,61,40,10.29,AR,1673916266
15,portland,45.5234,-122.6762,8.73,79,0,1.34,US,1673916090
16,mar del plata,-38.0023,-57.5575,20.65,89,75,5.66,AR,1673916169
17,georgetown,5.4112,100.3354,20.87,85,20,2.57,MY,1673916389
18,gornoye loo,43.7129,39.6049,5.88,59,0,2.79,RU,1673916479
19,atuona,-9.8,-139.0333,25.8,76,18,7.43,PF,1673916287
20,busselton,-33.65,115.3333,17.67,43,1,5.14,AU,1673916206
21,ribeira grande,38.5167,-28.7,13.21,77,96,3.13,PT,1673916375
22,gat,31.61,34.7642,11.01,100,5,2.15,IL,1673916481
23,punta arenas,-53.15,-70.9167,11.06,37,0,10.29,CL,1673915998
24,yellowknife,62.456,-114.3525,-14.71,85,100,5.14,CA,1673916204
25,thompson,55.7435,-97.8558,-11.91,85,100,2.06,CA,1673916283
26,ancud,-41.8697,-73.8203,12.92,81,100,1.13,CL,1673916300
27,loandjili,-4.7561,11.8578,25.2,88,100,1.3,CG,1673916482
28,tuatapere,-46.1333,167.6833,17.62,65,56,3.8,NZ,1673916483
29,hithadhoo,-0.6,73.0833,26.28,67,87,1.69,MV,1673916286
30,rikitea,-23.1203,-134.9692,25.4,68,2,2.4,PF,1673916274
31,kahului,20.8947,-156.47,26.53,71,40,3.09,US,1673916369
32,cherskiy,68.75,161.3,-38.16,96,100,1.45,RU,1673916484
33,ipixuna,-1.7625,-48.8043,22.25,97,32,1.51,BR,1673916484
34,mola di bari,41.0609,17.0873,10.68,74,92,6.36,IT,1673916485
35,cape town,-33.9258,18.4232,21.73,72,0,5.14,ZA,1673916300
36,morehead,37.2711,-87.1764,12.74,92,100,6.69,US,1673916485
37,saint anthony,45.0205,-93.218,0.58,94,100,3.6,US,1673916255
38,simpang,-1.2667,104.0833,24.93,90,100,1.6,ID,1673916486
39,khatanga,71.9667,102.5,-40.16,98,25,3.11,RU,1673916282
40,zhigansk,66.7697,123.3711,-50.17,100,74,1.93,RU,1673916487
41,arraial do cabo,-22.9661,-42.0278,24.92,83,0,8.23,BR,1673916275
42,terme,41.2092,36.9739,0.96,64,5,2.35,TR,1673916488
43,avarua,-21.2078,-159.775,27.03,74,20,3.09,CK,1673916488
44,saint-philippe,-21.3585,55.7679,23.77,83,31,4.66,RE,1673916489
45,netrakona,24.8833,90.7167,12.66,61,0,2.06,BD,1673916489
46,tiksi,71.6872,128.8694,-29.74,100,100,3.38,RU,1673916490
47,vaini,-21.2,-175.2,30.09,74,40,3.6,TO,1673916214
48,esfarayen,37.0765,57.5101,-10.19,67,92,1.05,IR,1673916491
49,klaksvik,62.2266,-6.589,-3.49,62,100,8.92,FO,1673916273
50,east london,-33.0153,27.9116,23.44,93,100,2.29,ZA,1673916231
51,jamestown,42.097,-79.2353,-0.39,44,100,2.01,US,1673916492
52,saskylakh,71.9167,114.0833,-31.74,99,35,3.26,RU,1673916366
53,menongue,-14.6585,17.691,17.13,95,100,1.53,AO,1673916493
54,kurchum,48.5722,83.6542,-22.35,98,100,1.21,KZ,1673916493
55,caravelas,-17.7125,-39.2481,23.61,88,16,2.37,BR,1673916494
56,roma,43.2128,-75.4557,-3.72,74,0,2.06,US,1673916494
57,pevek,69.7008,170.3133,-35.18,100,17,0.62,RU,1673916495
58,virginia beach,36.8529,-75.978,6.33,48,40,2.57,US,1673916216
59,rocha,-34.4833,-54.3333,18.37,91,0,3.13,UY,1673916496
60,poco verde,-10.7083,-38.1833,21.47,88,100,2.18,BR,1673916497
61,hays,30.0502,-98.0336,18.46,68,100,1.12,US,1673916492
62,port alfred,-33.5906,26.891,22.88,99,100,1.48,ZA,1673916194
63,dangriga,16.9692,-88.2321,23.89,71,30,5.02,BZ,1673916498
64,ponnani,10.767,75.9252,20.62,69,69,4.34,IN,1673916498
65,saint-augustin,51.226,-58.6502,-0.48,96,100,11.57,CA,1673916499
66,kavaratti,10.5669,72.642,26.17,73,17,2.77,IN,1673916499
67,evensk,61.95,159.2333,-18.5,78,100,2.67,RU,1673916500
68,kodiak,57.79,-152.4072,2.73,93,100,6.69,US,1673916315
69,ahipara,-35.1667,173.1667,22.25,56,27,3.71,NZ,1673916501
70,yanggu,36.1106,115.7753,-2.26,58,7,1.26,CN,1673916501
71,upernavik,72.7868,-56.1549,-19.35,96,100,2.55,GL,1673916383
72,luanda,-8.8368,13.2343,25.07,81,98,3.07,AO,1673916502
73,kapaa,22.0752,-159.319,26.43,70,0,3.09,US,1673916258
74,arari,-3.4536,-44.78,22.47,97,100,1.16,BR,1673916503
75,parangan,5.0839,119.9383,27.61,76,97,3.92,PH,1673916503
76,barrow,71.2906,-156.7887,-29.99,76,40,7.2,US,1673915995
77,mount gambier,-37.8333,140.7667,34.69,17,100,4.84,AU,1673916504
78,faya,18.3851,42.4509,12.29,79,98,1.43,SA,1673916505
79,qaanaaq,77.484,-69.3632,-24.83,61,64,2.61,GL,1673916314
80,lagos,6.5833,3.75,27.18,88,6,0.95,NG,1673916430
81,leshukonskoye,64.8989,45.7622,-6.29,89,100,5.64,RU,1673916506
82,hermanus,-34.4187,19.2345,22.67,83,96,6.49,ZA,1673916245
83,evans,33.5337,-82.1307,9.59,59,100,2.19,US,1673916319
84,iqaluit,63.7506,-68.5145,-31.84,74,0,2.06,CA,1673916399
85,kavieng,-2.5744,150.7967,28.38,68,100,2.6,PG,1673916507
86,provideniya,64.3833,-173.3,-14.94,56,75,12.0,RU,1673916329
87,sulangan,11.1373,123.7228,26.65,84,86,4.29,PH,1673916508
88,the pas,53.8251,-101.2541,-8.99,79,100,0.0,CA,1673916307
89,kruisfontein,-34.0033,24.7314,21.01,95,100,3.63,ZA,1673916264
90,ingham,42.6,-84.3833,1.16,93,100,7.2,US,1673916508
91,longyearbyen,78.2186,15.6401,-8.09,62,20,10.29,SJ,1673916345
92,alice springs,-23.7,133.8833,31.23,40,3,3.09,AU,1673916372
93,aripuana,-9.1667,-60.6333,21.92,98,97,1.41,BR,1673916509
94,emden,53.3667,7.2167,3.2,97,100,8.0,DE,1673916510
95,shirokiy,49.758,129.523,-23.53,97,100,1.83,RU,1673916510
96,sao felix do xingu,-6.6447,-51.995,21.97,98,99,0.82,BR,1673916511
97,nabire,-3.3667,135.4833,29.53,68,82,1.25,ID,1673916351
98,olafsvik,64.8945,-23.7142,-1.94,71,66,9.12,IS,1673916512
99,pedernales,18.0384,-71.744,24.22,75,82,0.85,DO,1673916512
100,kokuy,52.2037,117.5529,-35.98,100,87,0.38,RU,1673916513
101,kaitangata,-46.2817,169.8464,20.17,56,77,4.31,NZ,1673916513
102,catuday,16.2923,119.8062,25.48,74,100,4.26,PH,1673916513
103,mataura,-46.1927,168.8643,19.74,52,90,2.88,NZ,1673916221
104,cidreira,-30.1811,-50.2056,23.52,82,69,4.97,BR,1673916420
105,kaeo,-35.1,173.7833,24.62,60,28,6.18,NZ,1673916514
106,wattegama,6.7989,81.4808,21.63,95,100,1.8,LK,1673916400
107,ponta delgada,37.7333,-25.6667,13.4,71,75,4.63,PT,1673916515
108,port elizabeth,-33.918,25.5701,21.84,99,75,2.06,ZA,1673916515
109,katsuura,35.1333,140.3,8.21,60,92,4.28,JP,1673916396
110,ilulissat,69.2167,-51.1,-19.99,54,75,8.75,GL,1673916516
111,ilula,-7.6766,36.0366,15.57,98,93,1.31,TZ,1673916517
112,tabou,4.423,-7.3528,25.75,81,5,0.88,CI,1673916517
113,bathsheba,13.2167,-59.5167,24.9,79,13,4.72,BB,1673916518
114,victoria,22.2855,114.1577,12.57,80,100,5.81,HK,1673916377
115,ziarat,30.3823,67.7282,-2.79,42,0,2.74,PK,1673916518
116,tambacounda,13.7539,-13.7586,23.03,28,0,2.06,SN,1673916519
117,alekseyevsk,57.8406,108.3492,-25.23,98,100,1.36,RU,1673916519
118,verkhoyansk,67.5447,133.385,-43.13,99,100,0.63,RU,1673916520
119,bredasdorp,-34.5322,20.0403,20.96,91,100,7.46,ZA,1673916291
120,iracoubo,5.4802,-53.2011,24.54,88,100,4.8,GF,1673916520
121,codrington,-38.2667,141.9667,35.0,19,100,6.1,AU,1673916521
122,touros,-5.1989,-35.4608,25.99,77,33,5.12,BR,1673916001
123,kamaishi,39.2667,141.8833,1.03,47,28,2.06,JP,1673916480
124,port pirie,-33.1833,138.0167,37.32,24,8,6.72,AU,1673916522
125,san luis,-33.295,-66.3356,24.96,34,19,4.22,AR,1673916522
126,altay,47.8667,88.1167,-20.21,80,88,2.1,CN,1673916523
127,monrovia,6.3005,-10.7969,25.79,85,18,1.66,LR,1673916523
128,constitucion,-35.3333,-72.4167,12.72,88,10,3.93,CL,1673916523
129,elizabeth city,36.2946,-76.2511,5.71,53,100,0.89,US,1673915783
130,hovd,48.0056,91.6419,-17.63,73,100,0.31,MN,1673916524
131,tautira,-17.7333,-149.15,26.28,68,98,1.82,PF,1673916312
132,ngorongoro,-3.2397,35.4875,9.19,81,9,1.44,TZ,1673916525
133,sobolevo,54.4299,31.8996,-0.71,97,100,5.65,RU,1673916525
134,ostrovnoy,68.0531,39.5131,-1.36,86,76,10.2,RU,1673916526
135,alexandria,31.2156,29.9553,11.3,73,9,0.86,EG,1673916260
136,lenger,42.183,69.8839,-16.31,55,0,3.4,KZ,1673916528
137,puerto suarez,-18.95,-57.8,24.5,87,66,1.46,BO,1673916528
138,yerbogachen,61.2767,108.0108,-51.8,100,67,1.35,RU,1673916529
139,geraldton,-28.7667,114.6,21.23,49,0,8.23,AU,1673916529
140,avera,33.194,-82.5271,11.1,50,100,2.72,US,1673916530
141,bilibino,68.0546,166.4372,-28.5,91,100,2.52,RU,1673916530
142,hobart,-42.8794,147.3294,24.21,59,75,5.66,AU,1673916087
143,guerrero negro,27.9769,-114.0611,18.25,75,100,6.44,MX,1673916531
144,dunedin,-45.8742,170.5036,19.89,57,60,1.79,NZ,1673916245
145,iralaya,15.0,-83.2333,22.4,70,6,3.27,HN,1673916532
146,andros town,24.7,-77.7667,17.98,55,0,2.58,BS,1673916532
147,turukhansk,65.8167,87.9833,-35.51,85,8,2.59,RU,1673916532
148,kupang,-10.1667,123.5833,28.04,75,100,3.02,ID,1673916533
149,severodvinsk,64.5635,39.8302,-0.94,87,100,7.65,RU,1673916533
150,cap malheureux,-19.9842,57.6142,25.82,70,8,4.02,MU,1673916533
151,san patricio,28.017,-97.5169,21.17,78,0,1.78,US,1673916534
152,coquimbo,-29.9533,-71.3436,17.85,72,20,4.12,CL,1673916197
153,talcahuano,-36.7167,-73.1167,16.82,63,0,6.17,CL,1673916441
154,hirara,24.8,125.2833,17.15,77,75,7.2,JP,1673916535
155,pidhorodne,48.5753,35.1068,-0.18,85,100,5.32,UA,1673916535
156,dikson,73.5069,80.5464,-36.72,85,5,2.52,RU,1673916267
157,petropavlovsk-kamchatskiy,53.0452,158.6483,-17.67,46,0,4.0,RU,1673916536
158,sola,-13.8833,167.55,27.72,74,89,5.77,VU,1673916395
159,nouadhibou,20.931,-17.0347,20.99,46,100,5.66,MR,1673916536
160,korla,41.7597,86.1469,-16.0,94,76,0.73,CN,1673916537
161,marevo,57.3146,32.0804,-1.75,92,100,3.73,RU,1673916537
162,hamilton,39.1834,-84.5333,6.36,91,100,6.69,US,1673916398
163,marly,50.3456,3.5496,-1.19,95,7,3.09,FR,1673916538
164,havre-saint-pierre,50.2334,-63.5986,0.2,86,100,11.32,CA,1673916289
165,nadvoitsy,63.8667,34.3167,0.56,97,100,7.4,RU,1673916539
166,normandin,48.8333,-72.5321,-11.93,72,93,3.6,CA,1673916539
167,ganzhou,28.8184,115.4327,3.24,61,38,1.03,CN,1673916539
168,vao,-22.6667,167.4833,24.31,70,100,7.53,NC,1673916393
169,duliagaon,27.3667,95.3167,12.93,81,87,0.37,IN,1673916540
170,fort nelson,58.8053,-122.7002,-12.81,91,75,1.03,CA,1673916541
171,zalantun,48.0,122.7167,-16.98,66,0,6.01,CN,1673916541
172,beringovskiy,63.05,179.3167,-19.64,88,100,8.98,RU,1673916542
173,carnarvon,-24.8667,113.6333,24.69,49,0,10.52,AU,1673916243
174,taltal,-25.4,-70.4833,19.25,80,9,1.76,CL,1673916380
175,saldanha,-33.0117,17.9442,16.03,88,5,1.02,ZA,1673916153
176,nisia floresta,-6.0911,-35.2086,26.21,79,100,3.03,BR,1673916543
177,sindal,57.4712,10.2031,3.85,96,100,7.91,DK,1673916544
178,shubarshi,48.5872,57.1869,-13.01,76,16,3.9,KZ,1673916544
179,itaituba,-4.2761,-55.9836,23.97,89,100,0.48,BR,1673916544
180,jatai,-17.8814,-51.7144,20.8,92,100,0.54,BR,1673916545
181,muriae,-21.1306,-42.3664,22.05,95,0,1.58,BR,1673916545
182,saint-francois,46.4154,3.9054,1.69,93,0,2.06,FR,1673916546
183,leh,34.1667,77.5833,-21.34,74,11,1.02,IN,1673916546
184,buchanan,5.8808,-10.0467,25.55,86,10,1.97,LR,1673916547
185,rawah,34.4816,41.9093,9.77,78,74,1.64,IQ,1673916547
186,mamakan,57.8161,114.0028,-38.98,100,72,0.06,RU,1673916548
187,yar-sale,66.8333,70.8333,-14.73,96,100,6.22,RU,1673916548
188,birao,10.2849,22.7882,20.34,23,98,3.67,CF,1673916549
189,islamkot,24.6997,70.177,10.67,14,4,4.45,PK,1673916550
190,berlevag,70.8578,29.0864,0.97,80,75,7.2,NO,1673916435
191,payo,-3.7508,103.6372,23.76,94,100,0.58,ID,1673916550
192,bosaso,11.2842,49.1816,22.9,75,2,0.87,SO,1673916551
193,mareeba,-17.0,145.4333,26.91,88,100,2.03,AU,1673916551
194,cockburn town,21.4612,-71.1419,21.98,56,20,0.51,TC,1673916473
195,peniche,39.3558,-9.3811,14.68,89,100,13.34,PT,1673916281
196,taoudenni,22.6783,-3.9836,18.14,22,65,5.03,ML,1673916509
197,chirilagua,13.2203,-88.1386,27.83,75,94,1.67,SV,1673916553
198,babstovo,48.1167,132.4833,-25.1,96,98,1.11,RU,1673916553
199,gazanjyk,39.2446,55.5154,-3.9,66,77,5.28,TM,1673916515
200,sistranda,63.7256,8.834,-0.02,72,100,9.14,NO,1673916554
201,steinau,53.6833,8.8833,3.13,93,100,2.57,DE,1673916554
202,airai,-8.9266,125.4092,21.85,66,59,1.18,TL,1673916262
203,anadyr,64.75,177.4833,-21.72,71,0,7.0,RU,1673916555
204,bodden town,19.2833,-81.25,23.0,64,20,3.6,KY,1673916555
205,pasighat,28.0667,95.3333,12.88,75,66,0.79,IN,1673916556
206,placido de castro,-10.3353,-67.1856,22.22,96,100,0.09,BR,1673916557
207,ojuelos de jalisco,21.8667,-101.5833,14.21,17,100,3.52,MX,1673916557
208,la ligua,-32.4524,-71.2311,17.0,74,14,1.72,CL,1673916558
209,souillac,-20.5167,57.5167,25.21,78,40,7.2,MU,1673916558
210,kamina,-8.7386,24.9906,17.41,99,100,2.13,CD,1673916558
211,puerto ayacucho,5.6639,-67.6236,26.5,75,100,1.67,VE,1673916559
212,oster,50.9506,30.8823,1.91,93,100,8.25,UA,1673916560
213,aklavik,68.2191,-135.0107,-28.77,100,91,1.59,CA,1673916560
214,bilma,18.6853,12.9164,15.56,27,18,3.36,NE,1673916561
215,kyra,49.5776,111.9753,-24.48,85,38,1.7,RU,1673916561
216,port hardy,50.6996,-127.4199,7.1,100,100,2.57,CA,1673916407
217,nikolskoye,59.7035,30.7861,1.77,94,100,3.65,RU,1673916537
218,merauke,-8.4667,140.3333,28.54,73,100,3.07,ID,1673916563
219,chuy,-33.6971,-53.4616,20.05,78,0,3.99,UY,1673916563
220,agadir,30.4202,-9.5982,10.25,76,0,2.52,MA,1673916563
221,kyshtovka,56.555,76.6271,-13.16,96,100,3.72,RU,1673916564
222,labuhan,-6.8844,112.2051,26.68,80,100,2.62,ID,1673916564
223,azua,18.4532,-70.7349,19.48,71,0,2.76,DO,1673916301
224,bandarbeyla,9.4942,50.8122,23.47,77,66,6.65,SO,1673916316
225,orsha,54.5153,30.4053,-0.22,98,100,5.89,BY,1673916565
226,saint george,37.1041,-113.5841,9.29,73,0,3.09,US,1673916566
227,lugovoy,42.9472,72.7644,-14.99,82,4,0.9,KZ,1673916566
228,champerico,14.3,-91.9167,29.3,72,5,3.92,GT,1673916488
229,clyde river,70.4692,-68.5914,-22.87,77,100,4.63,CA,1673916217
230,dabat,12.9842,37.765,10.37,74,4,2.08,ET,1673916569
231,te anau,-45.4167,167.7167,22.1,44,4,1.5,NZ,1673916569
232,oksovskiy,62.6062,39.8984,-3.59,91,95,5.65,RU,1673916570
233,margate,51.3813,1.3862,-1.13,78,92,1.34,GB,1673916392
234,narsaq,60.9167,-46.05,-16.88,65,21,5.19,GL,1673916570
235,kieta,-6.2167,155.6333,28.65,76,73,1.9,PG,1673916234
236,kyrksaeterora,63.2906,9.0891,-8.38,87,100,3.07,NO,1673916571
237,ponta do sol,32.6667,-17.1,15.98,71,39,2.15,PT,1673916572
238,sechura,-5.5569,-80.8222,22.53,68,57,6.18,PE,1673916572
239,nishihara,26.1842,127.7558,17.59,64,75,2.57,JP,1673916572
240,torbay,47.6666,-52.7314,6.39,98,100,5.66,CA,1673916378
241,hervey bay,-25.2986,152.8535,22.79,93,100,5.36,AU,1673916574
242,namibe,-15.1961,12.1522,23.2,78,96,2.44,AO,1673916575
243,kamenka,51.3223,42.7678,-4.82,95,100,4.67,RU,1673916575
244,merzifon,40.8733,35.4631,-4.3,93,6,0.0,TR,1673916576
245,macusani,-14.0833,-70.4333,3.27,81,100,2.78,PE,1673916576
246,maumere,-8.6199,122.2111,28.34,71,88,0.5,ID,1673916577
247,redmond,47.674,-122.1215,8.29,79,67,1.34,US,1673916106
248,joaima,-16.6542,-41.0306,20.59,96,85,0.87,BR,1673916578
249,bonavista,48.6499,-53.1147,2.61,99,100,9.25,CA,1673916578
250,srednekolymsk,67.45,153.6833,-43.92,99,70,2.36,RU,1673916579
251,coffs harbour,-30.3,153.1333,25.98,65,40,3.09,AU,1673916579
252,troy,42.6056,-83.1499,1.37,89,100,3.09,US,1673916572
253,nacozari,25.3366,-108.2574,20.03,69,0,3.38,MX,1673916580
254,luderitz,-26.6481,15.1594,19.21,85,100,2.74,NA,1673916581
255,lorengau,-2.0226,147.2712,28.39,73,100,1.89,PG,1673916581
256,yulara,-25.2406,130.9889,34.52,27,0,3.72,AU,1673916436
257,madang,-5.2246,145.7966,29.92,62,100,1.2,PG,1673916582
258,mezen,65.8522,44.24,-5.36,90,100,6.42,RU,1673916583
259,pirai do sul,-24.5261,-49.9486,18.46,98,100,0.09,BR,1673916297
260,dali,25.7,100.1833,3.17,62,0,1.33,CN,1673916583
261,kachug,53.9606,105.8817,-17.92,99,100,1.4,RU,1673916584
262,gravdal,68.1214,13.5031,2.64,78,100,3.67,NO,1673916584
263,marjamaa,58.9039,24.4306,0.09,95,41,2.97,EE,1673916585
264,dingle,10.9995,122.6711,26.7,86,63,3.23,PH,1673916392
265,isangel,-19.55,169.2667,27.9,61,100,4.9,VU,1673916585
266,laguna,38.421,-121.4238,11.77,66,0,2.06,US,1673916361
267,handan,36.6006,114.4678,-1.25,46,60,1.55,CN,1673916586
268,oistins,13.0667,-59.5333,24.78,78,4,5.06,BB,1673916466
269,butaritari,3.0707,172.7902,27.14,79,15,6.68,KI,1673916233
270,victoria point,-27.5833,153.3,27.6,62,97,2.68,AU,1673916586
271,rio gallegos,-51.6226,-69.2181,16.03,29,0,7.2,AR,1673916587
272,araouane,18.9048,-3.5265,19.02,17,41,3.76,ML,1673916588
273,san cristobal,7.7669,-72.225,20.1,93,65,1.29,VE,1673916485
274,kiama,-34.6833,150.8667,28.27,62,1,5.47,AU,1673916212
275,tigil,57.8,158.6667,-14.87,87,100,1.53,RU,1673916588
276,norman wells,65.282,-126.8329,-15.98,78,100,3.6,CA,1673916212
277,sasovo,54.3537,41.9199,-7.89,94,100,4.51,RU,1673916589
278,sitka,57.0531,-135.33,5.94,70,100,6.69,US,1673916564
279,vardo,70.3705,31.1107,1.99,87,100,9.26,NO,1673916236
280,kamloops,50.6665,-120.3192,2.7,84,75,1.03,CA,1673916591
281,sembakung,3.8167,117.25,26.56,85,23,0.74,ID,1673916591
282,bakchar,57.0186,82.0711,-9.0,93,100,4.06,RU,1673916592
